
[08:59:20] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70
[11:28:34] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:29:34] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:29:48] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:33:45] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:34:43] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:34:58] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:38:55] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:39:54] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:40:09] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:44:05] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:45:05] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:45:18] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:49:15] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:50:14] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:50:28] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:54:26] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:55:24] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:55:40] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:59:36] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:00:34] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:00:49] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:04:46] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:05:44] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:05:59] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:09:57] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:10:54] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:11:10] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:15:08] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:16:04] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:16:20] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:20:19] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:21:15] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:21:31] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:25:32] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:26:26] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:26:42] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:30:44] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:31:37] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:31:54] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:35:55] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:36:50] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:37:05] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:41:08] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:42:02] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:42:16] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:46:21] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:47:16] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:47:29] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:51:34] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:52:29] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:52:41] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:56:46] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:57:40] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[12:57:52] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:01:57] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:02:51] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:03:04] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:07:08] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:08:01] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:08:14] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:12:17] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:13:11] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:13:23] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:17:28] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:18:21] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:18:35] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:22:37] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:23:31] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:23:45] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:27:47] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:28:41] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:28:55] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:32:57] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:33:51] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:34:06] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:38:08] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:39:03] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:39:17] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:43:18] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:44:12] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:44:26] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:48:28] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:49:23] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:49:36] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:53:38] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:54:34] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:54:46] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:58:48] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:59:44] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[13:59:56] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:03:58] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:04:54] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:05:08] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:09:08] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:10:05] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:10:19] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:14:18] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:15:14] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:15:29] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:19:28] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:20:25] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:20:39] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:24:38] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:25:35] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:25:49] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:29:47] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:30:46] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:31:01] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:34:58] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:35:57] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:36:11] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:40:09] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:41:07] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:41:21] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:45:18] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:46:18] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:46:32] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:50:28] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:51:29] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:51:43] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:55:38] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:56:39] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[14:56:53] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:00:50] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:01:49] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:02:05] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:06:03] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:07:00] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:07:16] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:11:14] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:12:11] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:12:28] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:16:27] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:17:22] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:17:40] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:21:38] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:22:33] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:22:50] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:26:49] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:27:43] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:28:01] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:31:59] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:32:55] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:33:11] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:37:10] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:38:05] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[15:38:22] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70
